ENSEMBLID;Symbol;mRNAbinding;IdentifiedCL;IdentifiedControl;p.adj.DESeq;p.adj.IC;RefSeq
ENSG00000001497;LAS1L;mRNA-interactome;identified;not identified;0.000257809;0.003236295;"NP_001164120;NP_112483;NP_0011..."
ENSG00000004478;FKBP4;mRNA-interactome;identified;not identified;0.930427451;0.001621344;NP_002005
ENSG00000004534;RBM6;mRNA-interactome;identified;not identified;4.94E-05;0.005893754;"NP_001161054;NP_005768"
ENSG00000005007;UPF1;mRNA-interactome;identified;not identified;1.07E-16;0.000970329;NP_002902
ENSG00000005022;SLC25A5;mRNA-interactome;identified;not identified;0.713048069;0.001158005;NP_001143
ENSG00000005100;DHX33;mRNA-interactome;identified;not identified;0.012745281;0.006688708;"NP_064547;NP_001186628"
ENSG00000006744;ELAC2;mRNA-interactome;identified;not identified;0.016629709;0.001789825;"NP_776065;NP_060597;NP_0011594..."
ENSG00000007080;CCDC124;mRNA-interactome;identified;not identified;0.004637231;0.000970329;"NP_001129675;NP_612451"
ENSG00000008988;RPS20;mRNA-interactome;identified;identified;0.274374964;0.00521744;"NP_001139699;NP_001014"
ENSG00000009307;CSDE1;mRNA-interactome;identified;identified;2.43E-17;0.000900621;"NP_009089;NP_001007554;NP_0011..."
ENSG00000011243;AKAP8L;mRNA-interactome;identified;not identified;0.001834291;0.155953706;NP_055186
ENSG00000011260;UTP18;mRNA-interactome;identified;not identified;1.92E-05;0.000899285;NP_057085
ENSG00000011304;PTBP1;mRNA-interactome;identified;not identified;6.77E-15;0.000970329;"NP_002810;NP_114367;NP_114368;..."
ENSG00000011465;DCN;mRNA-interactome;not identified;identified;1;0.001731115;"NP_598010;NP_001911;NP_598013;..."
ENSG00000015479;MATR3;mRNA-interactome;identified;identified;6.40E-10;0.000871604;"NP_001181884;NP_001181883;NP_0..."
ENSG00000020577;SAMD4A;mRNA-interactome;identified;identified;1;0.000970329;"NP_056404;NP_001155048;NP_0011..."
ENSG00000021776;AQR;mRNA-interactome;identified;not identified;3.55E-08;0.002183922;NP_055506
ENSG00000023734;STRAP;mRNA-interactome;identified;not identified;1.92E-05;0.001280117;NP_009109
ENSG00000025796;SEC63;mRNA-interactome;identified;not identified;2.74E-05;0.001777014;NP_009145
ENSG00000029363;BCLAF1;mRNA-interactome;identified;not identified;4.90E-07;0.002708193;"NP_055554;NP_001070909;NP_0010..."
ENSG00000029639;TFB1M;mRNA-interactome;identified;not identified;0.012745281;0.004045255;NP_057104
ENSG00000030582;GRN;mRNA-interactome;identified;not identified;0.143405059;0.006070981;NP_002078
ENSG00000033030;ZCCHC8;mRNA-interactome;identified;not identified;0.001466087;0.003042747;NP_060082
ENSG00000037474;NSUN2;mRNA-interactome;identified;not identified;2.22E-14;0.001091449;"NP_060225;NP_001180384"
ENSG00000039123;SKIV2L2;mRNA-interactome;identified;not identified;0.000322;0.027740269;NP_056175
ENSG00000040341;STAU2;mRNA-interactome;identified;not identified;2.69E-07;0.001091449;"NP_001157855;NP_001157853;NP_0..."
ENSG00000044115;CTNNA1;mRNA-interactome;identified;identified;0.23659668;0.003025295;NP_001894
ENSG00000047188;YTHDC2;mRNA-interactome;identified;not identified;3.60E-06;0.041434944;NP_073739
ENSG00000047315;POLR2B;mRNA-interactome;identified;not identified;0.040298589;0.000878037;NP_000929
ENSG00000047410;TPR;mRNA-interactome;identified;not identified;0.329799582;0.001717221;NP_003283
ENSG00000047849;MAP4;mRNA-interactome;identified;identified;0.002960497;0.009375279;"NP_001127836;NP_002366;NP_1121..."
