Ensembl Gene ID	Yeast Ensembl Gene ID	% Identity with respect to Yeast gene	Associated Gene Name	Description	Disease
ENSMUSG00000018697	YDR299W	23	Aatf	"apoptosis antagonizing transcription factor [Source:MGI Symbol;Acc:MGI:1929608]"	
ENSMUSG00000038762	YFR009W	29	Abcf1	"ATP-binding cassette, sub-family F (GCN20), member 1 [Source:MGI Symbol;Acc:MGI:1351658]"	
ENSMUSG00000036376	YNR054C	22	Abt1	"activator of basal transcription 1 [Source:MGI Symbol;Acc:MGI:1353636]"	
ENSMUSG00000036880	YPL028W	37	Acaa2	"acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase) [Source:MGI Symbol;Acc:MGI:1098623]"	
ENSMUSG00000039197	YJR105W	40	Adk	"adenosine kinase [Source:MGI Symbol;Acc:MGI:87930]"	Visceral Steatosis, Congenital
ENSMUSG00000030609	YOL080C	26	Aen	"apoptosis enhancing nuclease [Source:MGI Symbol;Acc:MGI:1915298]"	
ENSMUSG00000025007	YOR323C	40	Aldh18a1	"aldehyde dehydrogenase 18 family, member A1 [Source:MGI Symbol;Acc:MGI:1888908]"	
ENSMUSG00000041718	YGL047W	26	Alg13	"asparagine-linked glycosylation 13 [Source:MGI Symbol;Acc:MGI:1914824]"	
ENSMUSG00000035960	YBL019W	13	Apex1	"apurinic/apyrimidinic endonuclease 1 [Source:MGI Symbol;Acc:MGI:88042]"	
ENSMUSG00000040383	YLR430W	10	Aqr	"aquarius [Source:MGI Symbol;Acc:MGI:1276102]"	
ENSMUSG00000032096	YFR051C	31	Arcn1	"archain 1 [Source:MGI Symbol;Acc:MGI:2387591]"	
ENSMUSG00000048076	YDL137W	77	Arf1	"ADP-ribosylation factor 1 [Source:MGI Symbol;Acc:MGI:99431]"	
ENSMUSG00000048076	YDL192W	77	Arf1	"ADP-ribosylation factor 1 [Source:MGI Symbol;Acc:MGI:99431]"	
ENSMUSG00000040940	YGR070W	10	Arhgef1	"Rho guanine nucleotide exchange factor (GEF) 1 [Source:MGI Symbol;Acc:MGI:1353510]"	
ENSMUSG00000040940	YLR371W	8	Arhgef1	"Rho guanine nucleotide exchange factor (GEF) 1 [Source:MGI Symbol;Acc:MGI:1353510]"	
ENSMUSG00000038774	YER172C	32	Ascc3	"activating signal cointegrator 1 complex subunit 3 [Source:MGI Symbol;Acc:MGI:1925237]"	
ENSMUSG00000076441	YOL058W	49	Ass1	"argininosuccinate synthetase 1 [Source:MGI Symbol;Acc:MGI:88090]"	Citrullinemia, Classic
ENSMUSG00000025428	YBL099W	70	Atp5a1	"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1 [Source:MGI Symbol;Acc:MGI:88115]"	
ENSMUSG00000025781	YBR039W	39	Atp5c1	"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 [Source:MGI Symbol;Acc:MGI:1261437]"	
ENSMUSG00000042605	YGR178C	18	Atxn2	"ataxin 2 [Source:MGI Symbol;Acc:MGI:1277223]"	"Spinocerebellar Ataxia 2; SCA2"
ENSMUSG00000032637	YGR178C	17	Atxn2l	"ataxin 2-like [Source:MGI Symbol;Acc:MGI:2446242]"	
ENSMUSG00000014329	YJL080C	9	Bicc1	"bicaudal C homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1933388]"	"Heterotaxy, Visceral, 5, Autosomal; HTX5.Polycystic Kidney Disease 1; PKD1.Polycystic Kidney Disease, Autosomal Recessive; ARPKD"
ENSMUSG00000030138	YPL217C	39	Bms1	"BMS1 homolog, ribosome assembly protein (yeast) [Source:MGI Symbol;Acc:MGI:2446132]"	"Polycystic Kidney Disease 1; PKD1"
ENSMUSG00000022557	YMR049C	36	Bop1	"block of proliferation 1 [Source:MGI Symbol;Acc:MGI:1334460]"	"Polycystic Kidney Disease, Autosomal Recessive; ARPKD"
ENSMUSG00000022247	YOL077C	46	Brix1	"BRX1, biogenesis of ribosomes, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915082]"	
ENSMUSG00000021660	YPL037C	36	Btf3	"basic transcription factor 3 [Source:MGI Symbol;Acc:MGI:1202875]"	
ENSMUSG00000021660	YDR252W	32	Btf3	"basic transcription factor 3 [Source:MGI Symbol;Acc:MGI:1202875]"	
ENSMUSG00000023988	YBR247C	35	Bysl	"bystin-like [Source:MGI Symbol;Acc:MGI:1858419]"	
ENSMUSG00000003814	YAL058W	22	Calr	"calreticulin [Source:MGI Symbol;Acc:MGI:88252]"	
ENSMUSG00000020368	YAL058W	29	Canx	"calnexin [Source:MGI Symbol;Acc:MGI:88261]"	
ENSMUSG00000040213	YJL060W	31	Ccbl2	"cysteine conjugate-beta lyase 2 [Source:MGI Symbol;Acc:MGI:2677849]"	
ENSMUSG00000001416	YJL014W	59	Cct3	"chaperonin containing Tcp1, subunit 3 (gamma) [Source:MGI Symbol;Acc:MGI:104708]"	
ENSMUSG00000007739	YDL143W	59	Cct4	"chaperonin containing Tcp1, subunit 4 (delta) [Source:MGI Symbol;Acc:MGI:104689]"	
ENSMUSG00000029447	YDR188W	53	Cct6a	"chaperonin containing Tcp1, subunit 6a (zeta) [Source:MGI Symbol;Acc:MGI:107943]"	
ENSMUSG00000038446	YDR364C	36	Cdc40	"cell division cycle 40 [Source:MGI Symbol;Acc:MGI:1918963]"	
ENSMUSG00000023932	YMR213W	34	Cdc5l	"cell division cycle 5-like (S. pombe) [Source:MGI Symbol;Acc:MGI:1918952]"	
ENSMUSG00000029062	YKL139W	27	Cdk11b	"cyclin-dependent kinase 11B [Source:MGI Symbol;Acc:MGI:88353]"	
ENSMUSG00000041297	YKL139W	34	Cdk13	"cyclin-dependent kinase 13 [Source:MGI Symbol;Acc:MGI:1916812]"	
ENSMUSG00000024081	YDR060W	26	Cebpz	"CCAAT/enhancer binding protein zeta [Source:MGI Symbol;Acc:MGI:109386]"	
ENSMUSG00000078671	YER164W	35	Chd2	"chromodomain helicase DNA binding protein 2 [Source:MGI Symbol;Acc:MGI:2448567]"	
ENSMUSG00000018474	YER164W	25	Chd3	"chromodomain helicase DNA binding protein 3 [Source:MGI Symbol;Acc:MGI:1344395]"	
ENSMUSG00000041438	YDR324C	21	Cirh1a	"cirrhosis, autosomal recessive 1A (human) [Source:MGI Symbol;Acc:MGI:1096573]"	
ENSMUSG00000032316	YLL019C	21	Clk3	"CDC-like kinase 3 [Source:MGI Symbol;Acc:MGI:1098670]"	
ENSMUSG00000047126	YGL206C	49	Cltc	"clathrin, heavy polypeptide (Hc) [Source:MGI Symbol;Acc:MGI:2388633]"	
ENSMUSG00000030057	YNL255C	37	Cnbp	"cellular nucleic acid binding protein [Source:MGI Symbol;Acc:MGI:88431]"	
ENSMUSG00000053931	YOR367W	25	Cnn3	"calponin 3, acidic [Source:MGI Symbol;Acc:MGI:1919244]"	
ENSMUSG00000036550	YCR093W	25	Cnot1	"CCR4-NOT transcription complex, subunit 1 [Source:MGI Symbol;Acc:MGI:2442402]"	
ENSMUSG00000038784	YER068W	30	Cnot4	"CCR4-NOT transcription complex, subunit 4 [Source:MGI Symbol;Acc:MGI:1859026]"	
ENSMUSG00000029625	YPR107C	29	Cpsf4	"cleavage and polyadenylation specific factor 4 [Source:MGI Symbol;Acc:MGI:1861602]"	
ENSMUSG00000001767	YLR117C	38	Crnkl1	"Crn, crooked neck-like 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1914127]"	
ENSMUSG00000005683	YCR005C	57	Cs	"citrate synthase [Source:MGI Symbol;Acc:MGI:88529]"	
